player,nationality,position,team,age,sca,sca_per90,gca,gca_per90
Mathias Jensen,dkDEN,MF,Brentford,29-100,35,4.23,3,0.36
Gabriel Jesus,brBRA,FW,Arsenal,28-008,18,2.66,4,0.59
Raúl Jiménez,mxMEX,FW,Fulham,33-341,51,2.38,6,0.28
Kim Jisoo,krKOR,DF,Brentford,20-108,0,0.00,0,0.00
João Pedro,brBRA,"FW,MF",Brighton,23-197,60,3.00,9,0.45
Joelinton,brBRA,"MF,FW",Newcastle Utd,28-240,56,2.33,7,0.29
Ben Johnson,engENG,"DF,FW",Ipswich Town,25-077,18,1.43,4,0.32
Brennan Johnson,wlsWAL,FW,Tottenham,23-323,45,2.16,7,0.34
Sam Johnstone,engENG,GK,Wolves,32-017,2,0.29,0,0.00
Curtis Jones,engENG,"MF,DF",Liverpool,24-071,38,2.54,7,0.47
Jorginho,itITA,MF,Arsenal,33-112,12,1.76,0,0.00
Diogo Jota,ptPOR,FW,Liverpool,28-128,32,2.93,8,0.73
James Justin,engENG,DF,Leicester City,27-047,29,1.07,1,0.04
Filip Jørgensen,dkDEN,GK,Chelsea,22-360,1,0.17,0,0.00
Ferdi Kadioglu,trTUR,"DF,MF",Brighton,25-186,13,3.03,2,0.47
Daichi Kamada,jpJPN,MF,Crystal Palace,28-249,38,3.09,3,0.24
Boubacar Kamara,frFRA,MF,Aston Villa,25-139,19,1.43,2,0.15
Michael Kayode,itITA,DF,Brentford,20-275,3,6.59,0,0.00
Michael Keane,engENG,DF,Everton,32-090,6,0.66,0,0.00
Caoimhín Kelleher,ieIRL,GK,Liverpool,26-139,3,0.30,1,0.10
Lloyd Kelly,engENG,DF,Newcastle Utd,26-187,2,0.59,1,0.30
Milos Kerkez,huHUN,DF,Bournemouth,21-155,67,2.22,9,0.30
Bilal El Khannouss,maMAR,MF,Leicester City,20-336,44,2.39,2,0.11
Abdukodir Khusanov,uzUZB,DF,Manchester City,21-041,5,0.89,0,0.00
Max Kilman,engENG,DF,West Ham,27-323,23,0.76,3,0.10
Joshua King,engENG,"MF,FW",Fulham,18-098,4,4.50,0,0.00
Antonín Kinský,czCZE,GK,Tottenham,22-029,1,0.25,0,0.00
Jakub Kiwior,plPOL,DF,Arsenal,25-055,3,0.55,0,0.00
Justin Kluivert,nlNED,"MF,FW",Bournemouth,25-341,88,4.09,11,0.51
Ibrahima Konaté,frFRA,DF,Liverpool,25-321,25,1.10,6,0.26
Ezri Konsa,engENG,DF,Aston Villa,27-170,18,0.70,3,0.12
Mateo Kovačić,hrCRO,MF,Manchester City,30-340,54,2.75,5,0.25
Caleb Kporha,engENG,DF,Crystal Palace,18-270,0,0.00,0,0.00
Emil Krafth,seSWE,DF,Newcastle Utd,30-252,3,1.09,0,0.00
Mohammed Kudus,ghGHA,"FW,MF",West Ham,24-252,85,3.68,5,0.22
Dejan Kulusevski,seSWE,"MF,FW",Tottenham,24-351,122,5.10,9,0.38
Maxence Lacroix,frFRA,DF,Crystal Palace,25-005,24,0.89,4,0.15
Adam Lallana,engENG,MF,Southampton,36-336,9,2.24,2,0.50
Tariq Lamptey,ghGHA,DF,Brighton,24-193,15,1.76,3,0.35
Will Lankshear,engENG,"FW,MF",Tottenham,19-356,0,0.00,0,0.00
Roméo Lavia,beBEL,MF,Chelsea,21-095,11,1.83,2,0.33
Mario Lemina,gaGAB,"MF,DF",Wolves,31-222,26,1.71,5,0.33
Bernd Leno,deGER,GK,Fulham,33-038,5,0.16,2,0.06
Jefferson Lerma,coCOL,"MF,DF",Crystal Palace,30-168,39,2.04,3,0.16
Rico Lewis,engENG,"DF,MF",Manchester City,20-141,29,1.52,2,0.10
Keane Lewis-Potter,engENG,"DF,FW",Brentford,24-048,63,2.22,7,0.25
Myles Lewis-Skelly,engENG,DF,Arsenal,18-197,17,1.65,0,0.00
