player,nationality,position,team,age,tackles,tackles_won,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions
Joachim Andersen,dkDEN,DF,Crystal Palace,28-315,1,1,2,1,0,0,0,0
Joachim Andersen,dkDEN,DF,Fulham,28-315,24,17,19,6,23,18,5,28
Elliot Anderson,engENG,MF,Nott'ham Forest,22-156,72,48,89,49,39,8,31,24
André,brBRA,MF,Wolves,23-269,63,41,51,23,38,8,30,26
Michail Antonio,jmJAM,FW,West Ham,35-014,2,2,3,1,6,0,6,0
Antony,brBRA,"DF,MF",Manchester Utd,25-046,6,3,5,3,2,0,2,2
Julian Araujo,mxMEX,DF,Bournemouth,23-241,7,3,10,6,3,0,3,4
Cameron Archer,engENG,FW,Southampton,23-264,11,7,8,6,5,1,4,2
Alphonse Areola,frFRA,GK,West Ham,32-043,2,2,3,1,0,0,0,0
Joe Aribo,ngNGA,"MF,DF",Southampton,28-264,44,30,34,17,24,9,15,20
Adam Armstrong,engENG,"FW,MF",Southampton,28-060,12,3,14,11,6,1,5,3
Harrison Armstrong,engENG,MF,Everton,18-082,0,0,1,1,0,0,0,0
Kepa Arrizabalaga,esESP,GK,Bournemouth,30-190,1,0,1,1,1,0,1,0
Marco Asensio,esESP,"MF,FW",Aston Villa,29-080,3,2,6,4,1,0,1,1
Brandon Austin,engENG,GK,Tottenham,26-093,0,0,0,0,0,0,0,0
Taiwo Awoniyi,ngNGA,FW,Nott'ham Forest,27-242,6,3,5,1,1,0,1,0
Yasin Ayari,seSWE,MF,Brighton,21-187,48,26,44,25,20,6,14,17
Jordan Ayew,ghGHA,"FW,MF",Crystal Palace,33-212,1,0,0,0,0,0,0,0
Jordan Ayew,ghGHA,"FW,MF",Leicester City,33-212,24,13,19,13,14,0,14,12
Benoît Badiashile,frFRA,DF,Chelsea,24-016,9,6,5,1,2,2,0,6
Leon Bailey,jmJAM,"FW,MF",Aston Villa,27-245,6,4,10,8,6,0,6,3
Carlos Baleba,cmCMR,MF,Brighton,21-098,61,32,62,24,35,6,29,39
Ross Barkley,engENG,MF,Aston Villa,31-127,13,3,13,4,9,3,6,9
Harvey Barnes,engENG,FW,Newcastle Utd,27-123,13,8,6,3,6,1,5,6
Calvin Bassey,ngNGA,DF,Fulham,25-101,47,29,26,7,36,17,19,16
Jan Bednarek,plPOL,DF,Southampton,28-364,33,18,30,15,40,30,10,51
Armel Bella Kotchap,deGER,DF,Southampton,23-121,7,5,6,3,2,2,0,5
Jean-Ricner Bellegarde,frFRA,"MF,FW",Wolves,26-288,30,16,15,5,17,3,14,10
Rodrigo Bentancur,uyURU,MF,Tottenham,27-290,35,17,34,16,23,8,15,33
Sander Berge,noNOR,MF,Fulham,27-056,48,28,35,10,24,8,16,19
Lucas Bergvall,seSWE,MF,Tottenham,19-068,36,19,29,12,16,7,9,22
Victor Bernth Kristiansen,dkDEN,DF,Leicester City,22-116,85,50,87,40,37,14,23,40
Beto,gwGNB,FW,Everton,27-070,12,6,7,2,5,1,4,3
Philip Billing,dkDEN,MF,Bournemouth,28-304,14,5,4,1,3,0,3,5
Yves Bissouma,mlMLI,MF,Tottenham,28-224,41,27,30,14,7,4,3,14
Oscar Bobb,noNOR,FW,Manchester City,21-273,0,0,0,0,0,0,0,0
Lamare Bogarde,nlNED,"DF,MF",Aston Villa,21-096,14,6,16,6,5,3,2,1
Willy Boly,ciCIV,DF,Nott'ham Forest,34-067,6,1,4,0,4,2,2,3
Sven Botman,nlNED,DF,Newcastle Utd,25-089,5,3,3,1,2,1,1,4
Jarrod Bowen,engENG,"FW,MF",West Ham,28-112,35,23,37,20,20,3,17,15
Conor Bradley,nirNIR,DF,Liverpool,21-276,7,4,13,7,3,0,3,3
Jarrad Branthwaite,engENG,DF,Everton,22-288,32,18,24,7,26,18,8,23
James Bree,engENG,DF,Southampton,27-182,15,10,17,10,8,3,5,8
Ben Brereton,clCHI,FW,Southampton,25-358,3,2,9,8,2,1,1,0
Nathan Broadhead,wlsWAL,"MF,FW",Ipswich Town,27-006,7,3,9,6,6,1,5,4
Armando Broja,alALB,FW,Everton,23-213,2,1,0,0,3,0,3,0
David Brooks,wlsWAL,"FW,MF",Bournemouth,27-277,11,4,13,12,16,2,14,5
Emi Buendía,arARG,"MF,FW",Aston Villa,28-107,6,6,5,5,5,1,4,0
Santiago Bueno,uyURU,DF,Wolves,26-153,32,16,17,4,32,18,14,14
Facundo Buonanotte,arARG,"FW,MF",Leicester City,20-109,48,27,63,43,32,6,26,10
Cameron Burgess,auAUS,DF,Ipswich Town,29-172,10,7,7,1,14,11,3,10
Dan Burn,engENG,DF,Newcastle Utd,32-337,31,17,31,15,30,22,8,19
Wes Burns,wlsWAL,"FW,DF",Ipswich Town,30-139,13,11,10,6,7,2,5,10
Moisés Caicedo,ecECU,MF,Chelsea,23-160,91,57,70,26,41,9,32,42
