player,nationality,position,team,age,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,take_ons,take_ons_won_pct,take_ons_tackled_pct,carries,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,progressive_passes_received
Ederson,brBRA,GK,Manchester City,31-237,804,564,795,9,0,0,0,N/a,N/a,540,1609,0,0,0,1,0,0
George Edmundson,engENG,DF,Ipswich Town,27-223,3,1,3,0,0,0,0,N/a,N/a,1,0,0,0,0,0,0,0
Odsonne Édouard,frFRA,"MF,FW",Crystal Palace,27-085,45,1,4,23,18,8,1,0.0,100.0,23,50,2,1,2,4,1,7
Odsonne Édouard,frFRA,FW,Leicester City,27-085,20,1,2,7,11,6,2,50.0,50.0,11,2,0,0,1,7,2,2
Samuel Edozie,engENG,"DF,FW",Southampton,22-073,43,0,0,7,36,10,4,50.0,50.0,34,197,6,2,4,4,0,23
Ronnie Edwards,engENG,DF,Southampton,22-014,6,3,4,2,0,0,0,N/a,N/a,3,0,0,0,0,0,0,0
Anthony Elanga,seSWE,FW,Nott'ham Forest,22-349,875,29,124,247,520,86,71,31.0,45.1,460,2062,79,40,36,64,33,161
Harvey Elliott,engENG,"MF,FW",Liverpool,22-007,191,2,18,81,93,13,5,40.0,60.0,113,249,7,6,5,2,2,20
Yunus Emre Konak,trTUR,"FW,MF",Brentford,19-091,39,0,6,20,13,0,2,0.0,100.0,13,36,1,0,1,2,3,1
Julio Enciso,pyPAR,"FW,MF",Ipswich Town,21-078,218,2,24,109,92,10,27,59.3,40.7,106,456,11,13,4,10,18,24
Julio Enciso,pyPAR,"MF,FW",Brighton,21-078,202,2,17,72,116,20,21,47.6,38.1,114,386,11,10,4,7,9,17
Wataru Endo,jpJPN,MF,Liverpool,32-061,111,4,25,69,18,2,1,100.0,0.0,48,47,0,0,1,5,2,1
Christian Eriksen,dkDEN,MF,Manchester Utd,33-056,618,20,124,314,184,11,3,0.0,100.0,348,545,8,8,0,6,4,23
Romain Esse,engENG,MF,Crystal Palace,19-333,7,0,1,3,3,2,0,N/a,N/a,3,1,0,0,0,0,0,2
Pervis Estupiñán,ecECU,DF,Brighton,27-080,1482,61,372,740,384,24,27,48.1,48.1,767,1985,48,36,7,25,23,93
Evanilson,brBRA,FW,Bournemouth,25-187,408,15,31,154,225,101,19,31.6,36.8,249,637,24,13,13,28,19,79
